tag	campaign_id	group	side	layer	transition	excess_median	excess_trim0.01	frac_gt_0.001	excess_mean
demo	example-campaign	all	k	0	fp16-t8	0.000386	0.000405	0.0032	-0.000634
demo	example-campaign	all	k	0	t8-t4	0.002472	0.002596	0.0192	-0.005804
demo	example-campaign	all	k	0	t4-t3	0.004834	0.005076	0.0384	0.001408
demo	example-campaign	all	k	0	t3-t2	0.007293	0.007658	0.064	0.011428
demo	example-campaign	all	k	0	t2-t1	0.015972	0.016771	0.1408	0.01442
demo	example-campaign	all	v	0	fp16-t8	0.000256	0.000269	0.00224	-0.000559
demo	example-campaign	all	v	0	t8-t4	0.001655	0.001738	0.01344	0.007351
demo	example-campaign	all	v	0	t4-t3	0.003107	0.003262	0.02688	-0.003079
demo	example-campaign	all	v	0	t3-t2	0.005743	0.00603	0.0448	0.031755
demo	example-campaign	all	v	0	t2-t1	0.01251	0.013136	0.09856	0.007132
demo	example-campaign	all	k	1	fp16-t8	0.000329	0.000345	0.0024	-0.000849
demo	example-campaign	all	k	1	t8-t4	0.001929	0.002025	0.0144	-0.000759
demo	example-campaign	all	k	1	t4-t3	0.003344	0.003511	0.0288	-0.006487
demo	example-campaign	all	k	1	t3-t2	0.00577	0.006059	0.048	0.025071
demo	example-campaign	all	k	1	t2-t1	0.012357	0.012975	0.1056	0.02761
demo	example-campaign	all	v	1	fp16-t8	0.000216	0.000227	0.00168	7.6e-05
demo	example-campaign	all	v	1	t8-t4	0.001272	0.001336	0.01008	-0.003097
demo	example-campaign	all	v	1	t4-t3	0.002298	0.002413	0.02016	-0.002634
demo	example-campaign	all	v	1	t3-t2	0.004352	0.00457	0.0336	0.003692
demo	example-campaign	all	v	1	t2-t1	0.008897	0.009342	0.07392	0.020197
demo	example-campaign	all	k	2	fp16-t8	0.000198	0.000208	0.0016	-6e-05
demo	example-campaign	all	k	2	t8-t4	0.001271	0.001335	0.0096	0.004183
demo	example-campaign	all	k	2	t4-t3	0.002277	0.002391	0.0192	0.004941
demo	example-campaign	all	k	2	t3-t2	0.00402	0.004221	0.032	0.019602
demo	example-campaign	all	k	2	t2-t1	0.009204	0.009664	0.0704	-0.00376
demo	example-campaign	all	v	2	fp16-t8	0.000153	0.000161	0.00112	-0.000296
demo	example-campaign	all	v	2	t8-t4	0.000826	0.000867	0.00672	0.003151
demo	example-campaign	all	v	2	t4-t3	0.001563	0.001641	0.01344	0.002189
demo	example-campaign	all	v	2	t3-t2	0.002542	0.002669	0.0224	0.007661
demo	example-campaign	all	v	2	t2-t1	0.006486	0.00681	0.04928	0.013992
demo	example-campaign	all	k	3	fp16-t8	0.000108	0.000113	0.0008	-1.9e-05
demo	example-campaign	all	k	3	t8-t4	0.000623	0.000654	0.0048	0.001464
demo	example-campaign	all	k	3	t4-t3	0.001219	0.00128	0.0096	0.001348
demo	example-campaign	all	k	3	t3-t2	0.002136	0.002243	0.016	0.011753
demo	example-campaign	all	k	3	t2-t1	0.004377	0.004596	0.0352	0.013032
demo	example-campaign	all	v	3	fp16-t8	6.4e-05	6.7e-05	0.00056	0.000212
demo	example-campaign	all	v	3	t8-t4	0.000432	0.000454	0.00336	0.002565
demo	example-campaign	all	v	3	t4-t3	0.000894	0.000939	0.00672	-0.000392
demo	example-campaign	all	v	3	t3-t2	0.001368	0.001436	0.0112	0.004128
demo	example-campaign	all	v	3	t2-t1	0.002786	0.002925	0.02464	0.003219
