tag	campaign_id	transition	side	stat	rho_half
demo	example-campaign	fp16-t8	k	median	0.93
demo	example-campaign	fp16-t8	k	trim1	0.88
demo	example-campaign	fp16-t8	k	frac	0.95
demo	example-campaign	fp16-t8	k	mean	0.12
demo	example-campaign	fp16-t8	v	median	0.93
demo	example-campaign	fp16-t8	v	trim1	0.88
demo	example-campaign	fp16-t8	v	frac	0.95
demo	example-campaign	fp16-t8	v	mean	0.12
demo	example-campaign	t8-t4	k	median	0.93
demo	example-campaign	t8-t4	k	trim1	0.88
demo	example-campaign	t8-t4	k	frac	0.95
demo	example-campaign	t8-t4	k	mean	0.12
demo	example-campaign	t8-t4	v	median	0.93
demo	example-campaign	t8-t4	v	trim1	0.88
demo	example-campaign	t8-t4	v	frac	0.95
demo	example-campaign	t8-t4	v	mean	0.12
demo	example-campaign	t4-t3	k	median	0.93
demo	example-campaign	t4-t3	k	trim1	0.88
demo	example-campaign	t4-t3	k	frac	0.95
demo	example-campaign	t4-t3	k	mean	0.12
demo	example-campaign	t4-t3	v	median	0.93
demo	example-campaign	t4-t3	v	trim1	0.88
demo	example-campaign	t4-t3	v	frac	0.95
demo	example-campaign	t4-t3	v	mean	0.12
demo	example-campaign	t3-t2	k	median	0.93
demo	example-campaign	t3-t2	k	trim1	0.88
demo	example-campaign	t3-t2	k	frac	0.95
demo	example-campaign	t3-t2	k	mean	0.12
demo	example-campaign	t3-t2	v	median	0.93
demo	example-campaign	t3-t2	v	trim1	0.88
demo	example-campaign	t3-t2	v	frac	0.95
demo	example-campaign	t3-t2	v	mean	0.12
demo	example-campaign	t2-t1	k	median	0.93
demo	example-campaign	t2-t1	k	trim1	0.88
demo	example-campaign	t2-t1	k	frac	0.95
demo	example-campaign	t2-t1	k	mean	0.12
demo	example-campaign	t2-t1	v	median	0.93
demo	example-campaign	t2-t1	v	trim1	0.88
demo	example-campaign	t2-t1	v	frac	0.95
demo	example-campaign	t2-t1	v	mean	0.12
